Müşteri No,Müşteri Adı,Telefon,GSM,Email,Adres,İlçe,Vergi Dairesi,Vergi No
MN000855,Bukadrink,0212 880 14 88,0533 403 83 36,,,,,
MN000856,Ada Grup,0216 470 90 91,,,,,,
MN000857,Ertan Ticaret,0212 527 40 96,,,,,,
MN000858,Helis Draje Gıda  San. Ve Tic. Ltd. Şti.,0212 422 9023/63,,,CİHANGİR MAHALLESİ ŞEHİT ZAFER KIZILTAŞ SOKAK NO:5/1 AVCILAR / İSTANBUL,AVCILAR,AVCILAR,4610291312
MN000859,Bozanoğlu Gıda San. Paz. Ve  Tic. Ltd. Şti.,0212 553 3431 ,,,İzzettin Çalışlar Caddesi No:43 Bahçelievler/İST.,Bahçelievler,BEYAZIT,1830014434
MN000860,Medusa Tütün,,,,,,,
MN000861,Karsan Oyuncak İth. İhrc. San. Ve Tic. Ltd. Şti.,0212 512 0856,,,İSTOÇ TİCARET MERKEZİ 1.ADA NO:93/99 MAHMUTBEY / BAĞCILAR / İSTANBUL,BAĞCILAR,,
MN000862,Kımo,0542 717 48 48,,,,Esenyurt,,
MN000863,Karataş Tekstil San. Ve Tic. Ltd Şti,0212 482 54 85,,,,,,
MN000864,Arzela Gıda San Tic Ltd.Şti.,,,,KÜPLÜCE MAHALLESİ YAZMACI EMİNE SOKAK NO:6/2 ÜSKÜDAR/İSTANBUL ,ÜSKÜDAR,ÜSKÜDAR,086 106 1564
MN000865,Marka Esans Danışmanlık Ve Eğitim Tic. A.Ş,0212 210 9990,,,"Halil Rıfat Paşa Mahallesi Perpa B Blok K12 No 2098 Okmeydanı, Şişli, İstanbul",ŞİŞLİ,,
MN000866,Nurka Plastik Züccaciye San. Ve  Tic. Ltd. Şti.,,,bilgi@favorim.com,,,,
MN000867,Baklavacı Güllüoğlu Gıda San. Ve Dış. Tic. Aş.,0212 859 02 94,,,TÜRKOBA MAHALLESİ FIRAT PLASTİK CADDESİ NO:35 BÜYÜKÇEKMECE / İSTANBUL,BÜYÜKÇEKMECE,,
MN000868,Trend Tasarım,,0533 763 21 26,,,,,
MN000869,Hacızade Lokum,0212 630 13 30,,,,,,
MN000870,Beyin Bey Oyuncak,,0535 250 46 96,,,,,
MN000871,Ereğli Demir Ve Çelik Fabrikaları T.A.Ş,0212 578 82 93,0530 853 25 24,botatar@erdemir.com.tr,"Barbaros Mahallesi Ardıç Sokak No: 6
Batı Ataşehir 34746 İSTANBUL
",Ataşehir,,
MN000872,Pame Danışmanlık Ve Ticaret Aş  (Yıldız Holding Bünyesi ),0216 524 29 00,0532 506 5090,ahmet.abamor@yildizholding.com.tr,"Alemdağ Cad. No:32 B Blok
Üsküdar – İstanbul 
",Çamlıca,Ümraniye,7200559629
MN000873,Beta Mark Gıda,,,,,,,
MN000874,Pinkar Kimya Sanayi Ve Ticaret A.Ş,0212 219 0128,,,"Osmangazi Mah., Mehmet Deniz Kopuz Cad. No:25, 34522 Esenyurt/İstanbul",Esenyurt,,
MN000875,Miraç Gıda ( Toptan Gıda Pazarlama ),0533 094 6625 ,,,YENİ MAHALLE GÜLLÜ SOKAK NO:1/A KESTEL / BURSA,KESTEL,GÖKDERE,279 881 979 66
MN000876,Meşhur Beyoğlu Kahvecisi,,,,Akşemsettin Mah. Balipaşa Cad. No:130/A Fatih/İstanbul,FATİH,,
MN000877,Mtanos Trading S.A.R.L,00961 1 694512,00961 3 494 512,eliemtanos@mtanostrading.com,"Rawda Georges Amil Building 1 St Floor
Beirut - Lebanon",,,
MN000878,Asl Grup İthalat İhracat San.Tic.Ltd.Sti,+90 (312)524 24 06,0542 203 2323,auymaz@aslgrup.com,Eskişehir Yolu 2177 Cad. No:10/B Via Twins Söğütözü/Ankara,Söğütözü,,
MN000879,Çizmeci Gıda Sanayi Ve Ticaret A.Ş.,0262 751 4090,,info@cizmecigida.com,"Güzeller Organize Sanayi Bölgesi , İnönü Mahallesi,
Ebulfeyz Elçibey Sokak, No:11 41400, Gebze - Kocaeli - TÜRKİYE",Gebze,,
MN000880,Caffe Nonno, 0232 436 6093,,info@caffenonno.com,"İTOB OSB 10020 Sokak No: 36 Tekeli Menderes-İZMİR
",MENDERES,,
MN000881,Fine Chemıcal Makına Ve Kımya Ith.Ihr San Ve Tıc.A.Ş,,0 542 496 9838,info@agenan.com,"Çinarköy Mahallesi 5009 Sokak No: 5P
 Kemalpaşa - İZMİR
",Kemalpaşa,,
MN000882,Real Taste Gıda Emlak Turızm Ithalat Ihracat Sanayı Ve Tıcaret Ltd.Stı,0212 699 0970,0539 688 0551,info@queenstaste.com,"Zafer Mahallesi 146.Sokak No:9 İç Kapı No:1
 Esenyurt - İstanbul
",Esenyurt,,
MN000883,Berkay Danışmanlık Hizmetleri Ve Gıda Pazarlama,,,,SULTAN MURAT MAHALLESİ SULTAN MURAT CADDESİ SERBEST SOKAK NO: 3/B KÜÇÜKÇEKMECE / İSTANBUL,KÜÇÜKÇEKMECE,KÜÇÜKÇEKMECE,293 305 33064
MN000884,Dicle Promoston Ve Hediyelik Eşya,,,,DEMİRTAŞ MAHALLESİ KALEM SOKAK NO:2 MECİT BEY ÇARŞISI KAT : 2 D:45 EMİNÖNÜ FATİH,EMİNÖNÜ,,
MN000885,Atlantik  Kimya,0216 576 58 58,0533 966 49 15,,Fatih Mh. Altınkent Sk .No 4 Tavşanlı Beldesi / Yalova,,,
MN000886,Aksa Ticaret,0216 576 58 58,0532176 75 94,,,,,
MN000887,Antepli Şam Baklava,,,,,,,
MN000888,Zys Oluklu Mukavva Kağıt Ambalaj San.Ve Tic.Ltd.,0232 264 8485,,bilgi@zys.com.tr,GÜRPINAR MAH. 7004 SOK. NO:32/B PINARBAŞI / İZMİR,PINARBAŞI,HASAN TAHSİN / İZMİR,999 052 6140
MN000889,Beymen,,0544 232 88 90,,,,,
MN000890,79 Production Reklam,,0533 301 92 80,,,,,
MN000891,Alaçatı Kurabiyecisi Gıda Turizm İnşaat San.Tic.As,,0533 162 8743,cihan@alacatievkurabiyecisi.com,"Fatih Mahallesi 1194 sOKAK nO: 10-A/B
Sarnıç - Gaziemir - IZMIR",Gaziemir,Gaziemir,0470570369
MN000892,Handplast Ltd,Tel +972522988066,,hany@haniplast.com,"Hhestadrut Ave .35
Haifa-Israel 
",,,
MN000893,Zirve Online Matbaa Tekstil Baskı İnşaat San.Ve Tiv Tld Şirketi,,0539 701 84 14,,"ADRES MALTEPE MAH. SEMT DAVUT PAŞA CAD. KALE İŞ MERKEZİ 141 235
ZEYTİNBURNU / İSTANBUL",,,
MN000894,Mevlana Halı Kilim Ve Kuyumculuk San Ve Tic.Ltd.Şti,,0555 827 55 55,,,,,
MN000895,Bel_ Tur Ltd.Şti,,,,,,,
MN000896,Demlik,0212 233 65 54,,,,,,
MN000897,Beşe Helvacılık Şekerleme San.Ve Tic.A.Ş,0232 600 23 73,,,A.O.S.B.Mah. 10027 SK No 7 Çiğli / iZMİR,,,
MN000898,Yeditepe Tanıtım,,,,İstoç 14 ada No 55 Bağcılar / İSTANBUL,,,
MN000899,Acemoğlu Baklavaları,,,,TERAZİ DERE MAH. MANASTIR CAD. NO:57 K:3-4 BAYRAMPAŞA / İSTANBUL,Bayrampaşa,ZEYTİNBURNU,377 084 5534
MN000900,Turkısh Aırlınes,0212 463 63 63,,,,,,
MN000901,Public Etkinlik,0212 635 26 82,,,,,,
MN000902,Essa Grup Dış. Tic.Ltd.Şti,0212 520 19 19,,info@essagrup.com.tr,,,,
MN000903,Türmak Makina San. Ve Tic. A.Ş.,0212 2815104   ,,,Oto Sanayi Sitesi Çelik Sok. No:63  34330 4.Levent / İstanbul / TÜRKİYE,4.levent,,
MN000904,Helvacızade Aş.,0216 411 00 14,,,,,,
MN000905,Efe Food Gıda İnş Nak. Tah. İth San Ve Tic İtd.Şti,,0549 255 14 21,,,,,
MN000906,Alpro Gıda Ve Sanayi A.Ş,,,,,,,
MN000907,Sancaktepe  Belediyesi,0216 622 33 33,,,,,,
MN000908,Senabel Tatlı Gıda San.Ve Tic.Ltd.Şti.,0212 577 3226,0539 824 55 43,info@senabelsweets.com,TOPÇULAR MAHALLESİ RAMİ KIŞLA CADDESİ GÜN İŞ MERKEZİ NO: 29/C EYÜPSULTAN / İSTANBUL,EYÜPSULTAN,Bayrampaşa,7610896781
MN000909,İlkbal Grup,,0533 452 34 93,,,,,
MN000910,Nurettin Tatlıları,0212 621 01 87,0507 797 75 11,,,,,
MN000911,Beta Basım Tanıtım  Sanayi Ve Ticaret Ltd.Sti,0212 5678 222,0532 425 3384,beta@betabasim.com,"Yüzyıl Mahallesi Mas- Sit Matbaacılar Sitesi 2 Cadde No: 184
Bağcılar *- İstanbul",Bağcılar,Atışalan,1670525286
MN000912,Havi Olabi Kahve,,0579 029 05 79,,,,,
MN000913,Özsebil Cafe,,,,UZUNGÖL MAHALLESİ FEVZİ ÇAKMAK CADDESİ NO:13/D ÇAYKARA / TRABZON,ÇAYKARA,ÇAYKARA MAL MÜDÜRLÜĞÜ,190 106 560 08
MN000914,Alyan Gıda Üretim İthalat İhracat San.Ve Tic. A.Ş,0212 290 3132,0530 565 24 94,alyan@alyan.com.tr,"Maslak Mah. Maslak Meydan Sk. Beybigiz Plaza No.1/45
Sarıyer – İstanbul",SARIYER,,
MN000915,Erko Şekerleme Sanayi Ve Ticaret As,,0530 555 6370,info@starkeauto.com,"Tepeören ITOSB Mahallesi 2.Cadde No:28
Tuzla - İstanbul",Tuzla,,
MN000916,Akkim Yapı Kimyasalları San Ve Tic. Aş,0212 771 13 71,,,,,,
MN000917,Rampa Eğitim Gıda İnşaat,,0532 163 71 66,,,,,
MN000918,Kardelen Hediyelik San.Ve Tic Tld.Şti,,0532 335 46 45,,,,,
MN000919,Surtas Madenı Ve Plastık Esya Imalat Ihracat-Ithalat San. Ve Tıc. A.S.,0212 689 1604 ,,,İSTİKLAL MH. BARIŞ MANÇO CD. SÜRTAŞ BİNASI NO:2 KIRAÇ/ESENYURT,Esenyurt,,
MN000920,Özkaleli Gıda Ürt. Ve Ptrl Ürünleri San Ve Tic Aş,,0532 547 15 15,,,,,
MN000921,Zfs Organizasyon Fotoğrafçılık Turizm,,0532 058 87 65,,,,,
MN000922,Okumuş Çay Ve Gıda San. Tic A.Ş,212 567 69 19,,,,,,
MN000923,Gespetto Coffee Gıda İth. İhr.San. Ve Tic. Ltd.Şti.,,,info@tr.gespetto.com,"MACUN MAH. 204 CAD. A BLOK NO: 141 A İÇ KAPI NO: 6
YENİMAHALLE/ ANKARA",YENİMAHALLE,OSTİM,3940985047
MN000924,Şifa Market,0224 234 56 78,0533 602 32 52,,,,,
MN000925,Emircan Nak. Gıda Ve Gümrükleme Tic. Ltd. Şit,,0542 306 42 01,,,,,
MN000926,Atiq Concept Tradıng,00974 50 50 5775,,ateqconcept@gmail.com,"F1 Al Rabeaa Building, Aljazeera Al Arabia St.,
Madinat Khalifa South, P.O. Box 30868  Doha, Qatar",,,
MN000927,Kesem Tobacco Mamülleri San. Ve Tiç. Anonim Şirketi,,0533 232 28 35,,,,,
MN000928,Taksim Sütiş Muhallebicilik Ve Tatlıcılık San.Tic.Ltd .Şti,212 251 32 05,,,,,,
MN000929,Nural Dış Ticaret Ltd Şti,216 422  60 71,,,,,,
MN000930,Yurten Kimya Gıda Ürünleri Pazarlama San. Ve Tic.Lld. Şit,,0532 443 60 11,,,,,
MN000931,Milat Çikolata Şekerleme San. Ve Tic. Ltd. Şti.,0212 433 8022,,info@milatchocolate.com,MERKEZ MAHALLESİ KAVAK SOKAK NO:28 B BLOK BAHÇELİEVLER - YENİBOSNA / İSTANBUL,YENİBOSNA,YENİBOSNA,1050561402
MN000932,Bebek Çikolatası ( Ea Bilişim Reklamcılık Ve Elek Hiz Tic Ltd.Şti. ),0212 493 23 50,,info@bebekcikolatasi.net,"Orta Mah Şeffaf Sk Emintaş Canayakın sit B Blok No 15 Bayrampaşa – İstanbul
",Bayrampaşa,Davutpaşa,323 049 6896
MN000933,Livar Tütün Ve Tütün Mamülleri San.Tic.Ltd.Şti,,0537 305 88 09,,,,,
MN000934,Elmüttehit Plastik San.Ve Dış.Tic.Ldt.Şti,,0534 785 22 22,,,,,
MN000935,Care Dış Tic.Ltd.Şti,0212 339 1230,,info@gaudistore.com,KISIKLI MAHALLESİ TURİSTİK ÇAMLICA CADDESİ DOĞUŞ SOKAK NO:36/2B. ÇAMLICA / İSTANBUL,ÇAMLICA,ÜSKÜDAR,6870041646
MN000936,Ks Food Çikolata Ltd.Şti.,0332 342 0269,0532 253 0960,,"Hacı Yusuf Mescid Mahallesi 10532 Sokak No: 45 
Karatay / KONYA - TÜRKİYE
",KARATAY,SELÇUK ( KONYA ),590 098 5933
MN000937,Kellogg Meg Gıda Tic. Ltd.Şti.,,,,Ramazanoglu Mahallesi Mahmut Bayram Caddesi B BLOK NO:5/3 İÇ KAPI NO:1 Pendik - İstanbul,Pendik,PENDİK,5430579618
MN000938,Ganik Şekerleme Gıda San.Ve Tic.Ldt.Şti,,0532 492 44 37,,,,,
MN000939,Irmak Reklam Ramazan Usta,,0533 460 71 80,,,,,
MN000940,Lokart Gıda İnşaat İthalat İhracat San. Ve Tic. Ltd. Şti.,0850 255 18 18,,info@lokart.com.tr,Mehmet Akif Mah. Elalmış Cad. Cahit Sıtkı Sok. No:20 Ümraniye / İST.,ÜMRANİYE,ALEMDAĞ,6090884506
MN000941,Ask  Grup Ajans Reklam Gıda Tur İnş Bil.Org,,0532 483 65 46,,,,,
MN000942,Cty Tobacco  A.Ş,,0533 660 31 65,,,,,
MN000943,Kuzeydeyim Kuru Kahvecilik,0212 528 76 76,0505 980 13 80,,,,,
MN000944,Cafeeiro Gıda Ticaret Limited Şirketi,,,,"SEVK ADRESİ   :   YAKUPLU MAH. 67. SK. - - NO: 4 İÇ KAPI NO: 13 BEYLİKDÜZÜ/BEYLİKDÜZÜ
",BEYLİKDÜZÜ,BEYLİKDÜZÜ,195 061 3340
MN000945,Anl Gıda San.Ve Tic.Ltd.Şti,212 690 96 00,0554 952 13 83,,,,,
MN000946,Cahan  Tobacco,,0542 778 87 10,,,,,
MN000947,Komagene Gıda,0216592 20 40,,,,,,
MN000948,Mehdı Bey - Irak,,,,ISTANBUL TESLIM,,,
MN000949,Şanlıurfa Turizmi Geliştirme A.Ş.,0414 314 9803-1214,,,PAŞABAĞI MAH. ADALET CAD. ŞUTSO BİNASI YANI 9/1 HALİLİYE  / ŞANLIURFA,HALİLİYE,,
MN000950,Başarı Tanıtım Ve Tekstil,0212 515 33 00,0507 286 77 46,,,,,
MN000951,Moloko,,0532 158 42 19,,,,,
MN000952,Alpet Petrol,,0541 371 18 06,,,,,
MN000953,Akiş Şekerleme,0212 875 29 30,0538 647 43 44,,,,,
MN000954,Rh Restaurationsbetriebe Gmbh  Switzerland,+41 0800 837 535,05321654510,"oztasgroup@gmail.com , habermagazin34@gmail.com","BERNERSTRASSE 335 8952 SCHLİEREN 
ZURICH  SWITZERLAND 

CHE-112.717.973",,,
MN000955,Tire Süt Kooperatifi,0232 512 10 41,,,,,,
MN000956,Doyuk,,0542 825 37 63,,,,,
MN000957,Şanlıurfa Turizim Geliştime,,0538 616 66 16,,,,,
MN000958,Lark İnternational Developmennts Ltd,0216 413 18 00,0549 413 18 02,,,,,
MN000959,Novita İlaç Kimya San.Tic A.Ş,0212 447 43 32,0552 324 00 00,,,,,
MN000960,Hasanbey Kaysısı,0422 322 14 14,0538 884 21 21,,,,,
MN000961,Al Alamiya Export Import,+90 212 514 00 71,+90 542 203 00 91,,"Kemalpaşa Mahallesi Atatürk Bulvarı Emlak Bank Blokları A Blok No:34 / 20 
Fatih İstanbul",Fatih,,
MN000962,Birsap Purchasing,212 318 32 27,0532 421 32 64,,,,,
MN000963,Baladna Tr İçecek Gıda İç Ve Dış. Tiç. Ltd Şti,,0552 388 88 55,,,,,
MN000964,İnfo Yatırım Menkul Değer,0212 319 28 00,,,,,,
MN000965,İzze Kahve Ve Kahve Ekipmanları San.Tic.Ltd.Şti.,0212 252 9693,,hakan.polat@izzecoffee.com,"FATURA ADRESI :

FİRUZAĞA MAHALLESİ KADİRİLER YOKUŞU NO:37/A CİHANGİR-BEYOĞLU/İSTANBUL",BEYOĞLU,BEYOĞLU,484 131 2149
MN000966,Bam Hed.Eşya İnt.Hiz.Dış. Ltd.Şti,,0532 291 79 79,,,,,
MN000967,Karbosan,0212 692 90 50,0532 691 20 10,sami.kohen@karbosan.com.tr,Söğütlüçeşme Mahallesi Halkalı Caddesi No: 253  Sefaköy - Küçükçekmece - İstanbul,Avcılar,,
MN000968,Sirvani Lokum,,0552 346 05 66,,,,,
MN000969,Lak İnternational,,0534 971 63 90,,,,,
MN000970,Aykal Şekerleme,,0546 271 21 21,,,,,
MN000971,Saat Ve Saat Sanayi Ve Ticaret A.Ş.,0212 444 72 28 - 02122327228,0530 393 68 99,huseyin.eyilmez@saatvesaat.com,Büyükdere Caddesi Noramin İş Merkezi No:237 / D  Maslak - ıSTANBUL,Levent,BOĞAZİÇİ KURUMLAR,735 013 9033
MN000972,Akar Oyuncak,,0532 303 00 28,,,,,
MN000973,Msy Mühendislik Dabışmanlık Hizmetleri Gıda Sanayi Ticaret Ltd Sti,0216 408 1022,0533 633 53 33,syuce@trmsy.com ,"İçerenköy Mahallesi Değirmenyolu Cad.
Birman İş Merkezi No: 23/18
Ataşehir - Istanbul",Ataşehir,,
MN000974,Beenova Gıda Sağlık Kozmetik Ürünleri A.Ş,0 533 633 53 33,0 533 633 53 33,iyuce@trmsy.com,Silahtarağa Mahallesi  Universite 1.Sokak No: 13 Çorlu - TEKİRDAĞ,Çorlu,,
MN000975,Bonart Dış Tic A.Ş,0262 646 57 13,,,,,,
MN000976,Doğtat,0262 373 20 41,,,,,,
MN000977,Gramas,0256 577 43 43,,,,,,
MN000978,Cadosa Group Gıda San. Ve Tic. A.Ş.,0232 472 0070 ,,,"EGEMENLİK MAH. 6093 Sok.
NO:14 IŞIKKENT/ BORNOVA İZMİR
",BORNOVA,HASAN TAHSİN ,1960722887
MN000979,Soulmate Coffee&Bakery,0232 472 0070 ,,,"EGEMENLİK MAH. 6093 Sok.
NO:14 IŞIKKENT/ BORNOVA İZMİR
",BORNOVA,HASAN TAHSİN ,1960722887
MN000980,Yusta İthalat İhracat Ve Tic. A.Ş.,,,,Seyitnizam Mah. Demirciler Sitesi 8. Cad. No:73/229 Zeytinburnu – İstanbul,Zeytinburnu,Davutpaşa VD ,988 051 1655
MN000981,Al Sohul Baharat Ve Gıda Ürünleri Sanayi Ve Ticaret Ltd.Sti,,0 537 380 9715,,Rami Yeni Mahallesi Kuru Gıda 14.Sokak No: 131 İç Kapı No : 1  Eyüpsultan - İstanbul,Rami,Bayrampaşa ,0590396245
MN000982,Armağan,0212 653 56 13,,,,,,
MN000983,Codosa Grup  Gıda San.Tic.A.Ş.,0 232 472 00 70,0542 722 80 13,medya@soulmate.com.tr,"Egemenlik Mahallesi 6093 Sokak No: 14 
Işıkkent - İZMİR",Bornova,Hasan Tahsin ,1960722887
MN000984,Global Naturel,0212485 76 76 ,,,,,,
MN000985,Adare International Ltd.Suc  ( Romanya ),+ 44 0 1256 631 600,,carlos.lafora@adareinternational.com,"Floreasca Cube  Calea Floreasca 169 x  1 st Floor
Room 2  Distric 1 
014459  Bucuresti - Romania",,,
MN000986,Adare International Beograd -Ogranak Adare International Ltd,+ 44 0 1256 631 600,,carlos.lafora@adareinternational.com,"Jurica Gagarina 117 / IV / 44 Novi Beograd 
11070  Serbia",,,
MN000987,Adare  International Bulgaria Ltd Cct,+ 44 0 1256 631 600,,carlos.lafora@adareinternational.com,"Bulevard Cherni Vrah 26
1421 Sofia - Bulgaria",,,
MN000988,Z Materyal,0324 235 38 38,0539 665 00 36,,,,,
MN000989,Dicle Dibek Kahve,,0535 089 57 22,,,,,
MN000990,Jasmin Tobacco Tütün İth.İhr.San.Ve Aş.,,0533 412 95 27,,,,,
MN000992,Saat Ve Saat Mağzacılık As,+90 212 232 72 28,0533 712 21 81,huseyin.eyilmez@saatvesaat.com,Büyükdere Cad.Noramin İş Merkezi No :237/ D Maslak /İSTANBUL ,Sarıyer,Boğaziçi kurumlar,7350552322
MN000993,Eminoğlu İnşaat Tekstil Turizm Otom.Tic.Ltd.Şti.,,05324463791,emrekaratas91@gmail.com,,,,
MN000994,Chocnette Çikolata,02124892712,05072457345,,"Süleyman Demirel Bulvarı Sinpaş İş Modern I-38
İkitelli / Başakşehir",,,
MN000995,Allfire Metal Medikal Sanayi Ve Ticaret Ltd.Şti.,,05333163834,,"Cüceli Mahallesi 101002 sokak no:3 a 
Onikişubat / Kahramanmaraş",,,
MN000996,Marki Matbaa Ambalaja,212 576 78 12,0532 350 08 15,,,,,
MN000997,Vandibek Kahvecisi,0432 502 8754,0541 725 4457,vandibek65@gmail.com,Şerefiye Mah. Fevzi Çakmak Caddesi Yıldız 1.Sokak Yıldız Apt. Altı,İpekyolu,İpekyolu,7580458524
MN000998,Dream For International Trade Company,,00905523268033,dream4trad@gmail.com,"2/3 Okul Caddesi , Yahya Kemal Mahallesi",Kağıthane,,
MN000999,European Tobacco,03246764646-47-49-50-55,05333929079,info@eutobacco.net,"Tarsus Organize Sanayi Bölgesi 2.Cadde No:8 
Huzurkent",,,
MN001000,Uzman Lokman Hekim,02125079545,05415102700,info@uzmanlokmanhekim.com,Akıncılar Mah. Abdi İpekçi Cad. No:9/C,Güngören,,
MN001001,Turkiana Turizm San.Ve Dış Tic Ltd Şti,0212 511 0318,0544 540 02 02,,HACIKADIN MAH. ATATÜRK BULVARI İ.M.Ç. ÇARŞISI 5.NLOK NO:66 5417 / 5418 FATİH / İSTANBUL,FATİH,HACIPAŞA,8710548541
MN001002,Adare International Ltd. ( Greece - Yünanistan ),+30 210 876 4853,,carlos.lafora@adareinternational.com ,"166 A KIFISSIAS AVENUE MAROUSI ATHENS
GREECE",,,
MN001003,Kule Hediyelik Eşya,,05366931503,info@kulehediyelik.com,Esentepe Mahallesi Ürgüp Caddesi S.S.Yeni Elmacı A Blok No:52 D.Z1,Nevşehir,,
MN001004,Cemre Grup,,0544 540 02 02,,,,,
MN001005,Afm Bitkisel,0324 332 00 22,,,,,,
MN001006,Panini Group Medya Yayıncılık Ve Tic.A.Ş,0216 357 44 03,,terdogan@panini.it,"İnönü Cad. Turaboğlu Sok. No:4
Hamidiye Yazgan İş Merkezi K:3 D:4",Kozyatağı,,
MN001007,Köşkeroğlu Gıda Ür. Paz. Ve Tic. Ltd. Şti.,0212 245 3514,,,MUMHANE CAD. KAT OTOPARKI ALTI NO: 2/3 KARAKÖY / İSTANBUL,,BEYOĞLU,5890064403
MN001008,İzgi Fuarcılık Ltd. Şti.,02125150511 / 02125150521,05449287259,mustafa@izgifuarcilik.com.tr,Halkalı Merkez Mah. 1.Posta Sok. Cadde 24 İş Mrkz. A Blok Kat:7 D:81,Küçükçekmece,,
MN001009,Başel Oyuncak Ltd. Şti,,0532 583 49 59,,,,,
MN001010,Taba Çikolata,02128826660,05534272012,tabacikolata@tabacikolata.com,19 Mayıs Mahallesi Osmangazi Caddesi 12/A,Büyükçekmece,,
MN001011,Şam Gıda,,,,,,,
MN001012,Tutus Media Gmbh,49 (0) 69 150 43 443,,info@tutusmedia.com,"Bürgermeister-Mahr Str. 2
63179 Obertshausen   / USt-IdNr.: DE 298174356

TESLİMAT ADRESİ : GORAN-TEE 
Gewerbering 16 – 14656 Brieselang

",,,
MN001013,Phenix Concept Trading,,,ateqconcept@gmail.com,"Zone 33 Strett No : 945  Al Markhiea Front Of Eid Charity Villa 27
Doha - Qatar",,,
MN001014,Salkım Fidancılık Tarım Gıda İthalat İhracat Sanayi Ve Tic.Ltd.Şti.,,05325918334,serhansenyuz1@gmail.com,"Meşrutiyet Mah. Suboyu Sok. Salkım Konut Sit. No:4 BC/BC
                                            Şile/İstanbul",Şile,,
MN001015,Boyner Büyük Mağazacılık A.Ş:,02123357575 / D:02123357861,,,"Büyükdere Caddesi USO Center No:245/A
Kat. B01-Z02 ",Sarıyer,,
MN001016,Yemen Kurukahve,,05535930726,mertbirikmen@yemenkurukahve.com,1.Cadde No:323,Artuklu,,
MN001017,Köp Coffee (Tutku Group Kahve Gıda Sanayi Ve Ticaret Limited Şirketi),02128527530 / 02128527520,05444803060,kop@kopkahve.com,Gökevler Mah. Adnan Kahveci Bulvarı 2330 Sok. No:4-S,Esenyurt,,
MN001018,Scrikss Kalem Kırtasiye As,0 212 549 24 24,,birsen.tuna@scrikss.com.tr,,,,
MN001019,Meysa Plastik San. Tic. A.Ş.,02126597610,05367768418,meysa@meysaplastik.com.tr,"Fabrika : Metal İş San. Sit. 16.Blok No:2-4 
Başakşehir
Showroom: İstoç Tic.Merkezi 13.Ada No:122
Bağcılar",Bağcılar,,
MN001020,Diamond Tobacco Tütün Ve Tütün Mamulleri San. Eve Tic. Ldt Şit.,0232 878 05 05,,,,,,
MN001021,Hetta Tekstil Sanayi Ve Dış Ticaret Ltd.Şti.,02124387082,05358169950,info@hettatex.com,Terazidere Mahallesi Çiftehavuzlar Caddesi Funda Sokak No:15,Bayrampaşa,,
MN001022,Çınar Etiket,,0555 983 20 70,,,,,
MN001023,Bumer Group İç Ve Dış Tic.Ltd.Şti,,0532 578 60 70,,,,,
MN001024,Armağan Oyuncaklar,0212 653 56 13,0531 265 98 95,,,,,
MN001025,Karman Makina,03242353537,05323860562,info@karmanmakina.com,Tırmıl Sanayi Sitesi 63198 Sokak No:48/A,Akdeniz,,
MN001026,Polita  Makina,,0554 11125 20,,,,,
MN001027,Elsultan Gıda İç Ve Dış Tic. San.Ltd.,,0552 388 88 55,,,,,
MN001028,Bidolubaskı.Com,0216 706 0 232,,,Dudullu OSB Mahallesi 2.Cadde No:5,Ümraniye,,
MN001029,Nordia Elektrikli Ev Aletleri San. Ve Tic.A.Ş,212 800 79 18,,,,,,
MN001030,Kafes Fırın,0312 286 98 88,0530 178 35 43,,,,,
MN001031,Acarsan Makarna Un Gıda İnşaat San. Ve Tic.A.Ş,,0533 129 42 36,,,,,
MN001032,Efe  Hediyelik Eşya Tekstil Turizm San. Ve Tic.Ltd.Şti.,0212 519 17 08,,,Rüstem Paşa Mah. Mısır Çarşısı İçi No:71 Eminönü/İstanbul,Fatih,,
MN001033,Gökkuşağı Promosyon Matbaa Sanayi Ve Dış Ticaret Ltd.Şti.,(0212) 659 64 01 ,,info@gokkusagipromosyon.com.tr,"İstoç Ticaret Merkezi, 41.Ada No:39 
Bağcılar",Bağcılar,,
MN001034,Zümrüdü Anka Unlu Mamulleri Üretim Gada San. Ve Tic. Limited Şirketi,,0534 401 63 64,,,,,
MN001035,Nagihan Özar Sarıbal,,,,Cumhuriyet Mah. Vali Ayhan Çevik Cad. 19/A,Merkez,,
MN001036,Kırmızı Reklam,0544 411 10 41,,,Molla Gürani Mah. Dede Paşa Sok. No:27B,Fatih,,
MN001037,Retinam,,0533 732 20 81,,,,,
MN001038,All Assal Baklava,,0544 447 5047,,,,,
MN001039,Kahveci Kayhan,,0532 634 68 11,,,,,
MN001040,Nur Plastik,,0537 708 44 99,,,,,
MN001041,Globa-C Gıda San. Tic. Ltd. Şti,,0533 215 21 43,,,,,
MN001042,Anadolia Medeniyet Miras Ve Kültür,0216 606 18 00,0533 158 67 45,,,,,
MN001043,Rossini Grup,0212 512 9880,,,TAHTAKALE CADDESİ ASRİ İŞ HANI NO:29/31 EMİNÖNÜ / İSTANBUL,EMİNÖNÜ,HOCAPAŞA,21364288330
MN001044,Ali Baba Gıda,02126159296,05073039331,alibabalokum@gmail.com,Yeni Mahalle 547 Sokak No:25-27,Gaziosmanpaşa,,
MN001045,Tijda Şirketler Grubu,,0544 212 02 22,,,,,
